id,sensor1,sensor2,sensor3,sensor4
388937,-0.05988945416790619,-0.07080988488220778,-0.15522998214586928,-0.0749374262228852
90665,-0.1581226200468801,-0.288900618951974,-0.33138393100628194,-0.15001194852352606
62420,-0.2630919382455367,-0.3967165622756183,-0.4655936801044909,-0.25252299297879194
20018,-0.33601595513448385,-0.5246948418191282,-0.6235610214033255,-0.3391034669938542
57736,-0.4303877224438059,-0.6711518312126479,-0.7790507627319893,-0.4292306768266862
197840,-0.5372283045107846,-0.7513660030144353,-0.8590940134129665,-0.46306073260971214
60970,-0.6167171862005748,-0.8574782957207083,-0.9596099100492562,-0.5164352255737131
75774,-0.7070966022536297,-1.0217110062022903,-1.1079548404519084,-0.6230401967707264
104332,-0.7683305975140126,-1.0538874953938802,-1.125933021985267,-0.6614041195407127
15738,-0.89301785276137,-1.2510113545538253,-1.3298298015198824,-0.7823746713372776
164714,-0.948661492244144,-1.3339264363362258,-1.4122031026215671,-0.8450338313422414
302085,-1.0181520142786677,-1.447187916780277,-1.5595072862057697,-0.9441046225552341
377210,-1.12230938354896,-1.6386271885404389,-1.7055107122561641,-1.0413531663784232
336873,-1.1697348596689467,-1.6559880674656136,-1.7198581729493874,-1.0882137663533509
59199,-1.2751932169575193,-1.8024450568591333,-1.8753479142780511,-1.1848154158708502
13892,-1.3046398811447844,-1.8571769653783499,-1.8256622237127056,-1.1745341684258597
380329,-1.3167557567058545,-1.8601779035370687,-1.8842578950775932,-1.2017788891244034
373794,-1.2872844026341639,-1.9535053867916703,-1.9725303198466317,-1.1734985683662313
207932,-1.3356614827211644,-2.014093971213995,-2.038937236540617,-1.1532272047587673
346165,-1.3591672965389459,-1.9769313897313159,-2.0628512670141848,-1.1762187306132406
363772,-1.330862740084033,-2.0083008325008,-2.1214497499489924,-1.2656315994592973
349709,-1.3178879751742683,-1.9805184039056767,-2.074741574827238,-1.2818700463598738
376640,-1.3183730318507314,-2.009339305863642,-2.077246197723685,-1.2435857842283977
341393,-1.3355687643774197,-2.07669021010463,-2.1997632918879595,-1.273751941627536
265319,-1.3063996490863503,-1.9950854645882812,-2.1461960860076275,-1.2509403230965321
367059,-1.3253974801709312,-1.930798939396862,-2.090587484623708,-1.2708343763663963
362199,-1.3517410826373093,-1.9993077336811784,-2.1195723893430776,-1.246518422664855
68532,-1.3248406578073415,-1.9139807546272898,-2.093629946483027,-1.2238123483917644
272731,-1.3323400933938916,-1.9424350984550565,-2.1072609335019865,-1.2566987507638576
76048,-1.3364048732838867,-1.908751194961681,-2.0492053426855374,-1.260168683430198
336102,-1.3381193915421012,-1.9042576897930346,-2.07078306735514,-1.307384166926037
373861,-1.3223578621606797,-1.8024981332985788,-1.9886854421295246,-1.3254128325465866
78375,-1.3489922126601566,-1.6680932247421438,-1.8907727120181559,-1.3456204063977943
64241,-1.3107588720930385,-1.5856386534825828,-1.7864594372156795,-1.3529568249705095
84632,-1.2519937647346457,-1.541988637877262,-1.6555449292095696,-1.2854396741091119
27149,-1.2493910639568846,-1.4952973993659748,-1.57649543547777,-1.2110083613331004
70413,-1.2474701129623922,-1.4500524461002093,-1.5473304500600715,-1.2278551249517362
5255,-1.226388268810107,-1.3390151265568346,-1.5392853814789909,-1.2405993717933566
83198,-1.1686313608516223,-1.2769868225263263,-1.452856217012848,-1.2277977373003213
176305,-1.150507996045207,-1.3291657496519294,-1.4132647295960612,-1.1733070478403749
272404,-1.129321623204046,-1.424214651604194,-1.498289164299869,-1.144733697535558
1587,-1.0867291060553932,-1.2598995339672538,-1.344660558567547,-1.1108162516483964
